Month,pr,r20mm,r50mm,hurs,tasmin,tas,hd35,rx5day
1959-05,298.98,2.46,0.27,88.66,22.04,24.43,0.0,87.15
1959-06,249.21,1.88,0.25,87.77,21.64,24.06,0.0,80.38
1959-07,161.08,1.14,0.18,84.84,21.08,23.84,0.0,62.25
1959-08,166.08,1.37,0.11,82.49,20.93,23.72,0.02,59.72
1959-09,217.75,2.03,0.24,83.39,21.29,24.19,0.2,72.44
1959-10,243.66,2.18,0.2,83.45,21.59,24.51,0.38,82.01
1959-11,261.1,2.14,0.15,86.09,21.77,24.44,0.18,83.38
1959-12,294.86,2.85,0.19,87.22,21.78,24.29,0.0,97.85
1960-01,318.52,3.46,0.27,87.77,21.59,23.99,0.0,97.67
1960-02,265.6,2.57,0.17,86.85,21.61,24.18,0.0,86.19
1960-03,272.74,2.26,0.13,86.92,21.55,24.25,0.0,87.44
1960-04,288.98,2.31,0.19,88.17,21.88,24.44,0.0,86.07
1960-05,279.34,2.53,0.19,87.88,22.0,24.56,0.02,84.56
1960-06,172.39,1.26,0.18,85.37,21.42,24.14,0.04,59.53
1960-07,233.98,1.82,0.21,86.48,21.33,23.91,0.02,74.8
1960-08,182.65,1.28,0.15,84.37,21.5,24.26,0.16,65.65
1960-09,276.93,2.74,0.27,85.7,21.45,24.15,0.1,84.81
1960-10,206.89,1.77,0.13,82.99,21.63,24.66,0.38,74.34
1960-11,326.25,3.21,0.16,87.59,21.71,24.23,0.02,92.3
1960-12,318.83,3.14,0.25,87.59,21.73,24.23,0.0,97.79
1961-01,284.61,2.88,0.28,86.62,21.53,24.02,0.0,97.02
1961-02,283.03,3.29,0.28,86.89,21.69,24.26,0.0,102.01
1961-03,263.15,2.13,0.15,86.82,21.71,24.39,0.0,82.88
1961-04,295.44,2.51,0.22,87.97,22.02,24.58,0.0,86.84
1961-05,226.2,1.7,0.23,86.84,22.03,24.66,0.01,82.34
1961-06,183.67,1.38,0.17,85.13,21.27,23.99,0.02,70.26
1961-07,153.79,1.27,0.23,82.38,20.83,23.83,0.05,64.23
1961-08,125.96,0.96,0.13,80.3,20.91,24.05,0.1,55.85
1961-09,173.05,1.44,0.17,80.21,20.94,24.11,0.32,57.32
1961-10,168.04,1.37,0.08,79.92,21.33,24.6,0.84,61.85
1961-11,231.72,1.5,0.1,85.54,21.53,24.34,0.06,70.45
1961-12,292.68,2.36,0.16,87.32,21.7,24.26,0.01,86.4
1962-01,325.77,3.45,0.3,87.74,21.73,24.08,0.0,99.67
1962-02,232.97,1.97,0.14,86.65,21.56,24.09,0.0,80.41
1962-03,358.93,3.86,0.26,88.2,21.55,24.08,0.0,103.92
1962-04,278.19,2.58,0.19,87.78,21.76,24.38,0.0,102.42
1962-05,209.68,1.37,0.14,86.8,22.02,24.76,0.01,71.38
1962-06,200.81,1.22,0.14,86.17,21.34,24.17,0.0,66.21
1962-07,143.89,1.09,0.2,83.66,21.27,24.2,0.07,66.87
1962-08,220.25,1.73,0.18,84.86,21.04,23.77,0.02,69.19
1962-09,208.14,1.96,0.22,83.3,21.24,24.19,0.14,72.19
1962-10,285.31,2.92,0.22,85.48,21.78,24.56,0.15,89.71
1962-11,250.57,2.06,0.13,86.28,21.69,24.41,0.03,89.66
1962-12,299.7,2.86,0.2,87.6,21.62,24.13,0.0,94.56
1963-01,284.8,2.72,0.23,87.1,21.35,23.78,0.0,87.82
1963-02,291.76,3.24,0.24,87.46,21.17,23.69,0.0,89.47
1963-03,333.16,3.78,0.26,87.85,21.59,24.11,0.0,97.1
1963-04,240.74,1.84,0.21,86.96,21.75,24.5,0.0,77.31
1963-05,229.34,1.78,0.28,86.83,22.09,24.72,0.01,76.91
1963-06,110.76,0.53,0.07,82.86,21.46,24.53,0.05,42.23
1963-07,122.81,0.69,0.1,80.84,21.05,24.12,0.02,51.87
1963-08,164.67,1.43,0.17,81.68,21.07,24.02,0.03,57.33
1963-09,139.44,1.15,0.17,79.33,21.43,24.57,0.34,51.94
1963-10,187.43,1.84,0.19,80.41,21.63,24.69,0.67,65.1
1963-11,191.15,1.29,0.1,82.79,21.72,24.72,0.67,64.5
1963-12,273.37,2.34,0.18,86.4,21.66,24.32,0.06,88.52
1964-01,292.78,2.8,0.24,87.09,21.88,24.46,0.0,98.48
1964-02,288.51,2.85,0.29,87.28,21.87,24.34,0.0,103.18
1964-03,321.64,3.5,0.27,87.62,21.92,24.41,0.0,102.98
1964-04,266.49,1.88,0.16,87.97,22.03,24.61,0.0,78.69
1964-05,224.87,1.69,0.19,86.97,22.1,24.75,0.03,82.01
1964-06,189.26,1.27,0.14,85.94,21.25,23.99,0.03,66.66
1964-07,222.19,1.5,0.17,86.25,21.14,23.78,0.01,70.74
1964-08,173.42,1.2,0.23,83.49,21.01,23.97,0.06,65.55
1964-09,269.66,2.86,0.25,85.68,21.43,24.14,0.06,88.32
1964-10,311.79,3.04,0.23,87.16,21.45,24.04,0.0,88.7
1964-11,290.55,3.03,0.27,86.87,21.49,24.06,0.0,94.94
1964-12,276.91,2.33,0.17,87.22,20.98,23.55,0.0,88.61
1965-01,268.16,2.92,0.24,86.38,20.92,23.48,0.0,93.24
1965-02,273.99,2.87,0.23,86.92,21.19,23.83,0.0,94.82
1965-03,323.73,3.53,0.27,87.64,21.45,24.01,0.0,96.96
1965-04,229.31,1.48,0.11,86.92,21.45,24.16,0.0,79.05
1965-05,240.14,1.67,0.2,87.44,21.72,24.32,0.0,78.17
1965-06,168.03,0.92,0.09,85.13,21.31,24.1,0.04,56.08
1965-07,84.22,0.31,0.02,81.05,20.71,23.77,0.1,34.05
1965-08,160.83,1.33,0.11,81.52,20.78,23.8,0.15,56.2
1965-09,132.88,1.08,0.1,78.71,21.08,24.41,0.47,47.35
1965-10,200.21,1.99,0.2,80.92,21.56,24.64,0.72,78.34
1965-11,220.23,1.5,0.12,85.1,21.71,24.52,0.15,70.54
1965-12,345.4,3.58,0.33,87.78,21.73,24.14,0.02,106.89
1966-01,333.75,3.5,0.19,88.64,21.41,23.7,0.0,96.4
1966-02,331.54,4.12,0.26,88.83,21.56,23.82,0.0,102.02
1966-03,358.27,4.47,0.31,88.65,21.64,24.01,0.0,106.75
1966-04,299.05,2.83,0.26,88.34,22.03,24.43,0.0,91.09
1966-05,228.53,1.59,0.25,87.35,21.91,24.39,0.0,74.88
1966-06,184.39,1.19,0.12,86.55,21.33,23.87,0.0,62.72
1966-07,187.12,1.39,0.11,85.1,21.13,23.64,0.0,58.4
1966-08,247.61,2.34,0.34,85.44,21.36,23.87,0.06,82.0
1966-09,200.24,1.84,0.21,83.31,21.24,24.07,0.19,81.6
1966-10,316.03,3.8,0.36,86.71,21.5,23.94,0.01,96.17
1966-11,306.42,3.22,0.2,87.86,21.61,24.03,0.02,96.83
1966-12,383.33,4.44,0.29,89.48,21.47,23.66,0.0,107.95
1967-01,354.19,4.39,0.35,88.56,21.36,23.59,0.0,112.09
1967-02,292.42,3.56,0.25,87.5,21.43,23.82,0.0,95.59
1967-03,296.16,2.99,0.2,87.74,21.41,23.87,0.0,93.07
1967-04,280.62,2.19,0.18,88.24,21.49,23.99,0.0,87.12
1967-05,268.62,2.47,0.3,87.6,21.73,24.22,0.0,87.59
1967-06,186.64,1.42,0.31,84.97,21.26,23.88,0.01,71.59
1967-07,166.56,1.25,0.25,83.88,20.94,23.66,0.01,58.27
1967-08,160.97,1.38,0.23,81.54,21.09,24.05,0.05,53.07
1967-09,168.73,1.59,0.15,80.41,21.07,24.12,0.18,65.91
1967-10,220.04,2.03,0.24,82.49,21.38,24.31,0.64,73.18
1967-11,298.68,3.26,0.24,86.42,21.51,24.06,0.1,96.69
1967-12,353.41,3.82,0.32,88.88,21.35,23.6,0.0,107.94
1968-01,290.83,3.24,0.31,87.57,21.41,23.73,0.0,104.16
1968-02,186.63,1.41,0.1,84.88,21.21,23.95,0.0,65.99
1968-03,373.89,4.5,0.4,88.51,21.51,23.89,0.0,113.39
1968-04,282.27,2.71,0.17,88.01,21.49,24.01,0.0,94.99
1968-05,281.11,2.05,0.16,88.46,21.73,24.2,0.0,80.8
1968-06,215.14,1.2,0.16,87.46,21.51,24.08,0.0,66.29
1968-07,233.54,1.63,0.24,87.17,21.37,23.9,0.0,72.78
1968-08,208.73,1.49,0.19,86.06,21.36,23.96,0.0,67.95
1968-09,182.84,1.73,0.19,83.15,21.28,24.26,0.02,69.01
1968-10,260.5,2.64,0.28,84.96,21.53,24.29,0.1,88.25
1968-11,285.24,2.97,0.26,86.78,21.5,24.16,0.07,102.87
1968-12,340.71,3.89,0.29,88.14,21.69,24.08,0.0,107.19
1969-01,253.46,2.12,0.18,86.84,21.49,24.13,0.0,90.41
1969-02,253.8,2.47,0.25,86.99,21.63,24.19,0.0,88.23
1969-03,319.08,3.37,0.25,87.9,22.02,24.51,0.0,96.67
1969-04,266.42,2.16,0.2,87.51,22.16,24.7,0.0,85.76
1969-05,258.95,2.24,0.27,87.09,22.3,24.81,0.0,79.97
1969-06,223.56,1.93,0.25,86.58,21.83,24.39,0.0,77.0
1969-07,158.99,1.37,0.2,83.3,21.16,24.01,0.02,63.85
1969-08,222.44,2.09,0.23,83.57,21.17,23.91,0.02,75.59
1969-09,175.45,1.64,0.19,82.16,21.45,24.37,0.1,66.29
1969-10,238.07,1.92,0.17,84.14,21.57,24.44,0.15,74.92
1969-11,271.54,2.74,0.19,86.27,21.73,24.34,0.07,86.59
1969-12,312.69,3.04,0.17,87.81,21.8,24.22,0.01,94.01
1970-01,323.53,3.04,0.21,87.92,21.61,24.09,0.0,94.28
1970-02,244.7,2.38,0.33,86.63,21.83,24.44,0.0,97.23
1970-03,344.58,3.85,0.27,88.07,21.99,24.46,0.0,100.29
1970-04,329.54,3.46,0.28,88.45,22.13,24.58,0.0,103.54
1970-05,298.34,2.65,0.25,88.36,22.15,24.59,0.0,91.73
1970-06,227.02,1.96,0.25,86.56,21.8,24.39,0.02,80.38
1970-07,205.99,1.68,0.24,85.33,21.26,23.92,0.02,70.16
1970-08,223.21,2.13,0.32,84.54,21.18,23.91,0.05,74.58
1970-09,281.14,3.0,0.28,85.58,21.4,24.1,0.01,86.62
1970-10,290.49,3.21,0.38,85.35,21.77,24.5,0.04,93.97
1970-11,313.65,3.0,0.26,87.52,21.72,24.25,0.0,93.36
1970-12,311.11,3.18,0.17,87.7,21.58,24.03,0.0,92.63
1971-01,340.71,4.12,0.34,88.32,21.34,23.64,0.0,107.61
1971-02,269.42,2.75,0.18,87.19,21.23,23.73,0.0,86.93
1971-03,269.8,2.38,0.18,86.7,21.43,24.1,0.0,85.54
1971-04,226.06,1.58,0.12,86.93,21.51,24.25,0.0,73.49
1971-05,244.99,1.76,0.21,87.23,21.69,24.36,0.01,76.95
1971-06,226.59,1.76,0.27,86.57,21.3,23.95,0.04,70.59
1971-07,187.02,1.67,0.26,84.64,20.89,23.73,0.03,66.7
1971-08,260.47,2.58,0.19,85.8,20.94,23.6,0.01,81.76
1971-09,257.2,2.42,0.21,85.51,21.35,24.11,0.08,84.87
1971-10,299.81,3.58,0.24,85.75,21.51,24.19,0.09,99.8
1971-11,299.38,2.8,0.17,87.43,21.28,23.83,0.0,91.91
1971-12,317.72,3.19,0.19,88.25,21.26,23.7,0.0,94.52
1972-01,234.23,2.07,0.14,85.65,21.03,23.74,0.0,80.98
1972-02,253.22,2.32,0.18,86.75,21.3,24.0,0.01,86.56
1972-03,260.53,2.13,0.11,86.73,21.42,24.08,0.0,80.6
1972-04,238.25,1.7,0.15,87.33,21.53,24.11,0.0,80.63
1972-05,207.97,1.27,0.1,87.09,21.66,24.22,0.0,73.83
1972-06,132.05,1.14,0.2,83.81,21.31,24.08,0.01,63.18
1972-07,67.09,0.33,0.05,79.75,21.2,24.34,0.07,27.13
1972-08,123.23,0.85,0.07,79.03,21.09,24.36,0.14,46.22
1972-09,132.2,1.23,0.12,77.17,21.43,24.74,0.83,54.23
1972-10,155.04,1.24,0.12,78.44,21.66,24.99,1.04,56.54
1972-11,246.65,2.03,0.19,84.27,22.05,24.88,0.35,81.58
1972-12,305.8,2.56,0.22,88.2,21.91,24.29,0.0,89.61
1973-01,325.81,3.87,0.36,87.57,21.95,24.36,0.0,105.86
1973-02,261.73,2.67,0.24,86.37,22.12,24.74,0.0,90.12
1973-03,359.69,4.59,0.42,87.94,22.27,24.65,0.0,110.48
1973-04,341.8,3.6,0.3,88.66,22.36,24.79,0.0,104.56
1973-05,284.16,2.12,0.19,88.15,22.08,24.61,0.01,83.98
1973-06,206.38,1.34,0.15,86.89,22.02,24.69,0.01,72.76
1973-07,178.98,1.43,0.24,84.59,21.58,24.42,0.01,80.93
1973-08,260.73,2.33,0.28,86.29,21.53,24.17,0.0,80.71
1973-09,327.69,3.82,0.34,87.1,21.61,24.16,0.03,95.22
1973-10,239.29,2.03,0.19,84.6,21.81,24.74,0.07,83.64
1973-11,300.14,3.04,0.23,86.9,21.94,24.54,0.0,93.89
1973-12,316.59,2.97,0.22,87.82,21.54,23.99,0.0,92.53
1974-01,198.13,1.49,0.15,84.78,21.27,24.0,0.0,81.21
1974-02,308.36,3.4,0.23,88.03,21.36,23.81,0.0,96.94
1974-03,203.32,1.36,0.09,85.48,21.46,24.3,0.0,76.1
1974-04,275.46,2.7,0.22,87.4,21.72,24.38,0.01,94.65
1974-05,242.7,1.65,0.19,87.21,21.7,24.39,0.01,79.03
1974-06,178.33,1.34,0.15,85.29,21.28,24.09,0.02,67.58
1974-07,214.45,1.53,0.19,85.93,21.09,23.83,0.02,73.33
1974-08,157.06,1.03,0.15,83.88,21.32,24.26,0.03,62.92
1974-09,283.93,2.59,0.23,86.67,21.37,24.05,0.0,83.38
1974-10,276.13,2.86,0.3,85.89,21.66,24.44,0.03,89.09
1974-11,284.26,2.72,0.23,86.9,21.8,24.43,0.0,93.47
1974-12,307.08,2.73,0.2,87.83,21.46,24.02,0.0,89.14
1975-01,294.57,3.0,0.32,86.93,21.39,24.06,0.0,97.98
1975-02,273.9,3.05,0.29,86.78,21.51,24.12,0.0,100.44
