Month,hurs,pr,r20mm,rx5day,hd35,rx1day,tasmax,cdd
1964-06,84.64,153.28,0.8,59.6,0.2,20.47,29.75,3.62
1964-07,86.7,275.85,1.99,79.73,0.01,30.31,29.21,2.17
1964-08,83.06,131.23,0.4,51.67,0.09,18.08,29.8,5.38
1964-09,86.15,270.66,2.65,90.17,0.07,31.13,29.34,1.69
1964-10,87.11,264.9,1.71,74.38,0.08,25.42,28.94,1.07
1964-11,87.93,266.12,1.95,81.21,0.0,29.28,28.39,1.56
1964-12,87.28,250.02,1.85,80.78,0.0,34.13,27.64,2.86
1965-01,82.16,138.59,1.31,69.86,0.03,25.8,27.52,10.06
1965-02,83.9,182.66,1.49,76.72,0.09,28.81,28.61,4.26
1965-03,85.94,278.21,2.61,82.85,0.13,32.36,28.81,1.87
1965-04,86.93,239.86,1.26,76.02,0.0,25.56,29.3,1.09
1965-05,87.32,235.33,1.35,78.68,0.01,26.4,29.47,1.58
1965-06,85.3,156.4,0.51,49.74,0.02,19.02,29.74,2.55
1965-07,83.15,103.89,0.1,35.14,0.04,12.85,29.62,5.02
1965-08,86.11,258.06,2.31,85.51,0.02,31.95,28.98,1.88
1965-09,85.31,203.02,0.96,63.23,0.03,24.84,29.51,2.1
1965-10,86.86,275.0,2.56,90.12,0.01,33.25,29.22,1.54
1965-11,86.97,233.06,1.25,73.79,0.01,28.22,29.14,1.14
1965-12,87.93,297.94,2.94,97.17,0.0,36.45,28.37,0.94
1966-01,88.35,296.98,3.36,101.09,0.0,43.94,27.61,2.13
1966-02,86.47,201.58,1.72,82.16,0.0,31.01,28.33,2.96
1966-03,86.11,245.6,2.06,95.8,0.0,38.79,29.02,3.83
1966-04,86.62,238.2,1.8,71.03,0.01,26.44,29.53,1.93
1966-05,87.71,235.37,1.39,68.88,0.0,29.47,29.46,1.36
1966-06,88.54,248.84,1.91,79.06,0.0,27.02,28.63,1.19
1966-07,87.67,241.46,2.2,78.06,0.0,34.56,28.6,2.59
1966-08,88.15,327.48,3.55,104.59,0.0,42.9,28.66,1.39
1966-09,87.01,258.57,2.06,92.52,0.0,33.55,28.93,1.7
1966-10,89.88,369.64,3.94,101.04,0.0,39.29,28.02,0.4
1966-11,89.92,321.23,2.96,101.02,0.0,37.97,27.92,0.45
1966-12,90.08,325.92,2.89,99.06,0.0,38.59,27.55,0.67
1967-01,87.62,268.98,2.55,113.46,0.0,52.88,27.56,3.0
1967-02,84.72,230.54,3.16,103.11,0.01,43.88,27.89,6.59
1967-03,84.29,182.59,1.85,81.92,0.25,31.14,28.82,6.28
1967-04,86.08,229.85,1.53,72.3,0.05,26.21,29.58,2.53
1967-05,87.89,279.28,2.87,88.44,0.0,29.88,29.22,3.1
1967-06,85.77,199.21,1.83,96.62,0.01,37.48,29.36,4.41
1967-07,84.88,160.08,1.0,65.02,0.0,28.06,29.41,4.01
1967-08,83.8,148.92,0.39,46.43,0.0,17.09,29.76,5.17
1967-09,85.88,240.68,1.74,78.49,0.0,31.08,29.27,1.81
1967-10,87.22,255.99,1.67,74.96,0.0,27.32,28.81,1.1
1967-11,89.5,352.07,3.43,109.97,0.0,38.67,27.92,0.36
1967-12,86.65,220.76,2.11,80.88,0.0,32.92,27.58,4.37
1968-01,84.5,171.07,1.65,95.11,0.04,36.84,27.62,7.84
1968-02,78.07,80.35,0.56,43.43,0.38,17.72,29.14,11.14
1968-03,84.58,294.32,3.53,97.89,0.28,39.61,29.15,8.21
1968-04,84.6,213.51,1.67,78.17,0.12,28.87,29.66,2.51
1968-05,86.88,229.77,1.15,64.51,0.01,21.66,29.64,1.21
1968-06,86.62,227.34,1.69,70.37,0.0,27.4,29.51,2.01
1968-07,86.14,198.93,1.12,65.25,0.0,24.54,29.36,2.15
1968-08,84.88,150.49,0.46,51.36,0.02,18.58,29.66,2.95
1968-09,85.79,228.61,2.05,84.1,0.0,28.95,29.41,2.01
1968-10,88.48,325.46,2.96,102.54,0.0,35.06,28.72,0.76
1968-11,87.2,250.65,2.24,103.17,0.0,38.5,28.55,2.08
1968-12,88.56,320.72,3.55,94.93,0.0,34.12,28.11,1.92
1969-01,84.96,155.58,0.83,66.7,0.02,24.99,28.83,4.1
1969-02,82.5,133.58,0.63,51.47,0.24,22.28,29.43,4.5
1969-03,83.83,220.33,2.1,82.66,0.35,27.61,29.87,3.04
1969-04,85.01,220.74,1.57,69.21,0.22,27.34,30.1,2.87
1969-05,87.96,322.09,3.3,91.5,0.02,33.5,29.88,0.89
1969-06,87.21,232.07,1.62,84.88,0.0,41.72,29.5,1.89
1969-07,84.82,183.48,1.57,74.15,0.01,28.01,29.33,5.94
1969-08,86.59,291.89,3.01,93.75,0.01,32.32,29.05,3.46
1969-09,85.3,181.49,0.92,63.9,0.06,25.52,29.56,3.67
1969-10,87.09,297.42,2.44,84.88,0.01,33.1,29.38,0.49
1969-11,90.15,374.89,4.54,115.89,0.0,43.29,27.84,0.77
1969-12,88.81,303.84,2.56,100.15,0.0,41.37,27.87,1.66
1970-01,87.31,254.86,2.17,83.85,0.0,34.04,28.18,2.78
1970-02,82.83,126.38,1.2,69.9,0.3,29.95,29.12,6.54
1970-03,82.08,188.29,1.53,70.43,0.54,29.99,30.13,5.32
1970-04,87.04,271.76,2.26,78.46,0.21,28.69,29.77,0.83
1970-05,87.71,306.71,3.0,98.35,0.04,31.16,29.73,0.71
1970-06,86.74,233.84,2.04,90.11,0.01,34.75,29.5,2.07
1970-07,85.96,190.32,1.34,68.35,0.02,24.93,29.22,3.85
1970-08,85.98,218.9,1.59,71.23,0.03,26.08,29.39,2.11
