Month,pr,r20mm,r50mm,tasmin,tas,tasmax,hurs,rx5day
1967-03,135.92,1.75,0.09,-0.11,4.07,8.2,72.16,52.31
1967-04,195.85,3.35,0.22,6.04,9.55,13.35,74.83,72.68
1967-05,86.87,1.0,0.08,11.45,15.49,19.92,74.96,48.23
1967-06,185.21,2.52,0.47,15.01,18.4,22.25,78.93,99.21
1967-07,220.91,3.01,0.39,20.2,22.72,25.95,84.92,95.56
1967-08,155.72,1.7,0.3,20.78,23.96,27.64,80.61,76.17
1967-09,178.49,2.48,0.39,16.45,19.39,22.93,80.63,79.0
1967-10,178.55,2.86,0.71,9.8,13.21,17.21,75.43,88.69
1967-11,114.16,1.18,0.02,4.3,7.45,11.02,75.16,40.85
1967-12,75.14,0.12,0.0,-2.3,0.86,4.3,73.48,26.39
1968-01,87.63,0.2,0.0,-3.32,-0.33,2.98,72.11,29.76
1968-02,92.54,0.88,0.09,-5.24,-1.86,1.86,71.09,44.91
1968-03,106.97,1.05,0.02,1.1,4.52,8.36,72.2,39.35
1968-04,94.59,1.06,0.01,5.87,9.64,13.81,72.71,39.94
1968-05,141.71,1.77,0.2,10.54,13.74,17.49,76.69,60.67
1968-06,168.23,2.36,0.35,14.88,18.12,21.76,79.52,80.6
1968-07,266.46,3.92,1.19,19.22,21.79,24.99,83.76,118.88
1968-08,272.25,3.57,0.86,20.07,22.68,25.96,84.58,126.93
1968-09,188.09,2.76,0.55,16.16,19.02,22.41,80.79,91.88
1968-10,122.87,1.49,0.25,9.22,12.44,16.25,76.35,74.61
1968-11,80.75,0.72,0.03,5.16,8.7,12.92,75.58,36.7
1968-12,153.94,2.02,0.12,1.8,4.86,8.36,77.04,64.76
1969-01,115.76,0.95,0.07,-3.22,-0.14,3.23,75.48,48.95
1969-02,104.49,0.95,0.05,-3.09,0.03,3.54,74.65,60.45
1969-03,117.36,1.41,0.13,-0.98,2.48,6.28,71.81,43.83
1969-04,111.04,1.29,0.06,5.71,9.33,13.5,73.4,45.44
1969-05,138.03,1.99,0.12,10.51,14.38,18.74,72.01,59.49
1969-06,241.93,3.81,0.91,14.48,17.58,21.28,79.96,112.19
1969-07,264.05,3.73,1.33,19.02,21.74,25.08,83.73,157.46
1969-08,222.43,3.19,0.87,20.0,22.89,26.52,81.91,117.66
1969-09,161.09,2.14,0.18,16.31,19.51,23.34,79.68,64.58
1969-10,111.16,1.63,0.19,9.37,12.87,16.95,74.85,56.12
1969-11,100.53,0.77,0.05,4.13,7.29,11.07,74.81,42.2
1969-12,93.11,0.51,0.01,-2.3,0.84,4.39,72.53,39.88
1970-01,106.92,1.16,0.37,-4.72,-1.51,2.22,71.96,65.3
1970-02,89.58,0.46,0.01,-2.68,0.62,4.35,71.95,62.91
1970-03,96.15,0.85,0.02,-3.0,0.35,4.03,69.21,45.57
1970-04,132.03,1.88,0.18,5.09,8.54,12.53,74.58,59.09
1970-05,160.15,2.79,0.27,11.65,15.17,19.26,74.89,70.91
1970-06,255.55,3.76,1.06,14.77,17.47,20.69,82.33,120.29
1970-07,196.7,2.67,0.44,19.57,22.26,25.58,82.77,93.57
1970-08,197.13,2.28,0.67,20.59,23.36,26.8,82.57,94.03
1970-09,192.9,2.68,0.2,17.38,20.28,23.79,81.21,74.23
1970-10,118.22,1.51,0.12,10.6,13.98,17.96,76.71,66.55
1970-11,120.44,1.14,0.28,4.45,7.67,11.46,74.55,63.95
1970-12,91.89,0.6,0.04,-1.4,1.64,5.02,73.7,37.38
1971-01,84.49,0.4,0.01,-3.62,-0.5,3.01,73.23,33.91
1971-02,86.69,0.43,0.0,-2.95,0.17,3.61,73.4,39.03
1971-03,108.56,1.11,0.02,-0.12,3.04,6.63,69.97,48.84
1971-04,95.44,1.11,0.05,5.1,9.02,13.36,69.64,38.9
1971-05,156.81,2.47,0.19,10.4,13.78,17.71,75.89,72.54
1971-06,221.3,3.43,0.6,15.35,17.99,21.25,83.36,89.28
1971-07,274.67,3.88,0.74,19.95,22.37,25.52,85.06,118.9
1971-08,283.16,3.42,1.12,20.13,22.75,26.04,82.85,131.24
1971-09,287.13,4.43,1.3,15.96,18.58,21.74,82.73,125.06
1971-10,150.73,2.02,0.16,9.61,12.8,16.44,76.76,65.7
1971-11,59.28,0.3,0.01,4.56,7.82,11.67,73.26,39.57
