Month,pr,r20mm,r50mm,hurs,tasmin,tas,hd35,rx5day
1961-05,218.86,2.2,0.14,81.81,23.83,26.47,0.76,84.53
1961-06,253.66,2.78,0.39,82.25,23.52,26.06,1.09,105.87
1961-07,212.56,2.25,0.33,83.67,23.08,25.51,0.02,85.33
1961-08,297.88,3.43,0.52,84.16,23.31,25.52,0.09,108.79
1961-09,193.5,1.57,0.14,83.79,23.06,25.52,0.04,73.78
1961-10,212.17,1.85,0.13,83.58,22.54,25.01,0.01,76.94
1961-11,133.79,1.24,0.46,82.16,22.33,24.96,0.06,86.22
1961-12,139.4,1.22,0.21,82.62,22.33,24.6,0.01,60.08
1962-01,165.18,1.66,0.25,82.68,21.43,23.43,0.0,64.21
1962-02,128.7,1.24,0.18,81.56,21.09,23.3,0.0,55.52
1962-03,129.47,1.06,0.08,81.21,22.36,24.93,0.11,51.5
1962-04,91.82,0.45,0.03,79.4,23.01,25.9,0.28,34.56
1962-05,175.69,1.52,0.18,80.58,23.72,26.48,0.72,71.44
1962-06,182.53,0.93,0.03,82.82,23.23,25.98,0.52,56.04
1962-07,309.8,3.68,0.62,84.67,23.45,25.63,0.18,125.46
1962-08,266.33,2.72,0.45,84.3,23.11,25.52,0.06,101.33
1962-09,287.55,3.57,0.5,85.21,23.17,25.42,0.03,114.67
1962-10,131.08,0.56,0.02,82.17,23.2,25.87,0.07,48.76
1962-11,160.58,1.75,0.42,82.59,22.5,24.97,0.03,81.96
1962-12,117.36,0.6,0.07,82.04,21.73,24.09,0.01,49.57
1963-01,195.01,2.25,0.41,82.49,20.89,22.75,0.0,73.21
1963-02,130.14,1.28,0.2,80.9,20.74,22.86,0.0,49.02
1963-03,74.24,0.28,0.03,79.56,21.38,24.0,0.04,31.17
1963-04,37.67,0.08,0.0,75.64,22.05,25.36,0.65,17.11
1963-05,106.03,0.55,0.04,76.2,23.55,26.7,2.14,52.48
1963-06,281.65,3.59,0.6,83.16,23.5,25.89,0.32,108.69
1963-07,194.19,1.44,0.08,82.86,23.18,25.72,0.03,68.82
1963-08,315.42,3.16,0.52,85.27,23.32,25.58,0.06,113.69
1963-09,249.4,2.54,0.41,84.84,23.44,25.72,0.05,110.0
1963-10,142.34,0.72,0.01,82.85,22.7,25.29,0.02,48.75
1963-11,94.27,0.32,0.03,82.12,22.67,25.28,0.12,34.84
1963-12,111.82,0.76,0.06,82.43,22.19,24.7,0.14,53.83
1964-01,70.6,0.26,0.02,80.68,21.84,24.11,0.0,25.35
1964-02,191.95,2.18,0.6,80.53,21.69,23.66,0.0,85.84
1964-03,79.04,0.42,0.05,80.0,22.02,24.41,0.06,43.77
1964-04,115.36,0.5,0.04,78.58,22.94,25.51,0.42,38.6
1964-05,234.58,2.35,0.3,82.4,23.53,25.77,0.74,95.62
1964-06,253.41,2.01,0.39,83.68,23.12,25.37,0.29,110.72
1964-07,200.9,1.3,0.02,84.54,22.85,25.12,0.0,100.93
1964-08,267.21,3.09,0.51,84.71,23.03,25.09,0.0,109.28
1964-09,304.02,3.26,0.26,85.75,22.91,24.98,0.0,100.16
1964-10,210.87,1.53,0.07,85.42,22.63,24.69,0.0,70.82
1964-11,403.55,5.0,1.02,87.15,22.4,24.04,0.0,155.55
1964-12,195.36,1.58,0.49,85.38,21.43,23.26,0.0,95.4
1965-01,211.64,3.03,0.72,83.34,20.61,22.56,0.0,124.34
1965-02,98.49,0.74,0.06,81.18,21.05,23.3,0.0,41.14
1965-03,149.45,1.19,0.22,81.72,21.61,23.8,0.01,64.54
1965-04,98.16,0.34,0.0,80.3,22.55,25.1,0.16,39.62
1965-05,167.95,1.56,0.31,81.17,23.12,25.52,0.19,89.92
1965-06,256.62,2.75,0.16,84.45,22.95,25.12,0.07,90.11
1965-07,288.13,3.16,0.57,85.67,22.54,24.48,0.01,112.45
1965-08,194.42,1.77,0.27,83.89,22.61,24.9,0.01,95.48
1965-09,219.68,1.87,0.09,84.93,22.74,24.81,0.0,86.46
1965-10,119.73,0.45,0.0,83.85,22.41,24.65,0.0,48.42
